Job,Link
"Python Developer / AI Specialist
Innovate DevX, Lahore, Pakistan
Design, develop, and maintain Python-based applications with a focus on AI technologies.Collaborate with cross-functional teams to understan..",https://www.rozee.pk/innovate-devx-python-developer-ai-specialist-lahore-jobs-1470692?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1470692&utm_campaign=ROZEE.PK_job_search
"Python / ERP Next Developer
Codes Soft, Karachi, Pakistan
Customize and extend ERPNext and Frappe framework to meet specific business requirements. Develop and maintain Python-based applications wit..",https://www.rozee.pk/codes-soft-python-erp-next-developer-karachi-jobs-1470086?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1470086&utm_campaign=ROZEE.PK_job_search
"Python Developer
ApexFits, Faisalabad, Pakistan
We are seeking a talented and enthusiastic Junior Python Developer to join our dynamic team.The ideal candidate will have a strong foundatio..",https://www.rozee.pk/apexfits-python-developer-faisalabad-jobs-1469526?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1469526&utm_campaign=ROZEE.PK_job_search
"Python Programmer
Immi Garments (Pvt) Ltd., Lahore, Pakistan
Responsibilities:Developing Python Applications: Design, implement, and maintain Python-based applications, software, and tools.Writing Effi..",https://www.rozee.pk/immi-garments-pvt-ltd-python-programmer-lahore-jobs-1465863?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1465863&utm_campaign=ROZEE.PK_job_search
"Python Developer
I Nodes, Lahore, Pakistan
We are looking for an experienced Python Developer with a specialization in automation technologies. The candidate must have expertise in Dj..",https://www.rozee.pk/i-nodes-python-developer-lahore-jobs-1469196?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1469196&utm_campaign=ROZEE.PK_job_search
"Python Developer
Talent Tide Global, Multiple Cities, Pakistan
We are looking for a Python Developer with a minimum of 2 years of experience to join our dynamic team. The ideal candidate will have expert..",https://www.rozee.pk/talent-tide-global-python-developer-lahoreislamkotpeshawar-jobs-1471554?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1471554&utm_campaign=ROZEE.PK_job_search
"Python Developer
URE SOFT, Lahore, Pakistan
We are seeking a talented Python Django Developer to join our team. The ideal candidate will have a passion for developing web applications ..",https://www.rozee.pk/uresoft-python-developer-lahore-jobs-1467076?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1467076&utm_campaign=ROZEE.PK_job_search
"Python Developer
Universal Resources Ltd., Multiple Cities, Pakistan
We are currently looking for a skilled Python Developer to become a part of our dynamic team. The ideal candidate should possess a robust ba..",https://www.rozee.pk/universal-resources-ltd-python-developer-islamabad-gujranwala-lahore-jobs-1462421?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1462421&utm_campaign=ROZEE.PK_job_search
"Python Faculty
Aptech Pakistan, Hyderabad, Pakistan
Applications are invited for the position of Teaching Staff ( Computer Science / Software Engineering  )  Candidate must be Graduate in Soft..",https://www.rozee.pk/aptech-pakistan-python-faculty-hyderabad-jobs-1463097?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1463097&utm_campaign=ROZEE.PK_job_search
"Python Django Developer
BariTechSol, Karachi, Pakistan
We are looking for a Python Django Developer with at least 2 years of experience to join our team. The successful candidate will be responsi..",https://www.rozee.pk/baritechsol-python-django-developer-karachi-jobs-1469536?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1469536&utm_campaign=ROZEE.PK_job_search
"Python Django Developer
BariTechSol, Karachi, Pakistan
We are looking for a Python Django Developer with at least 2 years of experience to join our team. The successful candidate will be responsi..",https://www.rozee.pk/baritechsol-python-django-developer-karachi-jobs-1467482?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1467482&utm_campaign=ROZEE.PK_job_search
"Software Engineer - Python / AI
Phonicly, Lahore, Pakistan
We are looking for a software engineer who can design, develop, and deploy web applications using Python and AI frameworks. You will be work..",https://www.rozee.pk/phonicly-software-engineer-python-ai-lahore-jobs-1468642?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1468642&utm_campaign=ROZEE.PK_job_search
"Backend Developer (Python)
Falcon Consulting, Lahore, Pakistan
Are you a skilled Python Developer and related frameworks like Django or Flask with a minimum of 2 years of hands-on experience? Your expert..",https://www.rozee.pk/falcon-consulting-backend-developer-python-lahore-jobs-1465395?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1465395&utm_campaign=ROZEE.PK_job_search
"Python / Django / Backend Developer
North Rays Pvt Ltd, Lahore, Pakistan
We are seeking a skilled and experienced Backend Developer with a specialization in automation technologies. The ideal candidate will have e..",https://www.rozee.pk/north-rays-pvt-ltd-python-django-backend-developer-lahore-jobs-1467724?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1467724&utm_campaign=ROZEE.PK_job_search
"Call Center Agent
Python Technologies, Rawalpindi, Pakistan
The Call Center Representative will be responsible for providing excellent outbound sales calls, customer service, ensuring customer satisfa..",https://www.rozee.pk/python-technologies-call-center-agent-rawalpindi-jobs-1464105?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1464105&utm_campaign=ROZEE.PK_job_search
"Python / Django Developer
URE SOFT, Lahore, Pakistan
We are seeking a talented Python Django Developer to join our team. The ideal candidate will have a passion for developing web applications ..",https://www.rozee.pk/uee-soft-python-django-developer-lahore-jobs-1467096?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1467096&utm_campaign=ROZEE.PK_job_search
"Software Engineer
UnQa, Lahore, Pakistan
As a software engineer, you\ll work in a constantly evolving environment, due to technological advances and the strategic direction of the ..",https://www.rozee.pk/unqa-software-engineer-lahore-jobs-1469650?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1469650&utm_campaign=ROZEE.PK_job_search
"Data Engineer
Horizon Technologies, Karachi, Pakistan
We are looking for a data engineer to join our team. You will use various methods to ingest, transform raw data into useful data systems and..",https://www.rozee.pk/horizon-technologies-data-engineer-karachi-jobs-1470514?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1470514&utm_campaign=ROZEE.PK_job_search
"ERPNext / Odoo Developer
Codes Soft, Karachi, Pakistan
Customize and extend ERPNext and Frappe framework to meet specific business requirements. Develop and maintain Python-based applications wit..",https://www.rozee.pk/codes-soft-erpnext-odoo-developer-karachi-jobs-1470088?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1470088&utm_campaign=ROZEE.PK_job_search
"SQA Engineer
Digi Hawks, Islamabad, Pakistan
You will play a crucial role in ensuring the quality, reliability, and performance of software applications or systems. Your primary respons..",https://www.rozee.pk/digi-hawks-ltd-sqa-engineer-islamabad-jobs-1469776?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1469776&utm_campaign=ROZEE.PK_job_search
"SaaS Accounting Software Development
CodeFlow

PKR 200,000/month • 8 Hours per day • 3 Months duration
Pakistan - Feb 20, 2024 - Work From Home
Project Overview: We are seeking an experienced web developer to design and develop a Software as a Service (SaaS) accounting software tailo..",https://www.rozee.pk/codeflow-saas-accounting-software-development-jobs-1466049?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1466049&utm_campaign=ROZEE.PK_job_search
